Title	Author	Year	Callnum
Eksplorasi protocol USB pada implementasi driver keyboard dengan sensor touch menggunakan AVR ATXMEGA 256 A3BU	Fajri	2013	SK-1114
Ekstraksi isi halaman web menggunakan metode content extraction via text density (CETD)	Rangga Hadisurya	2013	SK-1172
Estimasi lokasi dan klasifikasi kondisi lalu lintas berdasarkan hasil ekstraksi dari media sosial twitter	Rachmad Akbar	2013	SK-1221
Evaluasi dampak implementasi knowledge management system di Bank Indonesia pada Aspek People	Handre Duriana	2013	SK-1155
Evaluasi kesiapan proses manajemen layanan TI (manajemen tingkat layanan dan manajemen insiden) dengan menggunakan kerangka pemetaan ISO/IEC 20000 dan cobit: studi kasus pengelola nama domain internet indonesia (PANDI)	Silvia Anggraeni	2013	SK-1208
Evaluasi trust pada situs web e-commerce Indonesia	Sri Wahyuni	2013	SK-1146
Faktor-faktor adopsi mobile government di Indonesia: studi kasus layanan aspirasi dan pengaduan online rakyat (LAPOR!)	Ferdy Alfarizka Putra	2013	SK-1144
Faktor-faktor kualitas informasi pada jenjaring sosial  dan official website yang mempengaruhi keputusan untuk melakukan perjalanan wisata menurut perspektif backpacker di Indonesia	Rizka Eka Putri	2013	SK-1105
Implementasi algoritma clustering hirarkis secara agglomerative dengan pembatas kesebelahan pada data tingkat kesejahteraan penduduk	Dony Novrianto	2013	SK-1219
Implementasi algoritma decision tree C4.5 dalam penentuan jumlah zakat mustahik pada sistem informasi zakat (SIZAKAT)	David Bayu Ananda	2013	SK-1167
Implementasi algoritma pendeteksian perubahan cluster secara otomatis dengan menggunakan self-organizing MAP pada data temporal	Pandu Wicaksono	2013	SK-1174
Implementasi anotasi otomatis data audio menggunakan pendekatan recaptcha basis audio	Andry Luthfi	2013	SK-1206
Implementasi cluster computing berbasiskan cloud dengan middleware rocks	Ardhi Putra Pratama	2013	SK-1183
Implementasi dan pengembangan NFCAFE: aplikasi mobile android berbasis NFC untuk sistem transaksi jual beli di lingkungan kantin	Fikrul Arif Nadra	2013	SK-1189
Implementasi fungsi pemanggilan IOCTL untuk pengelolaan tabel routing pada modul ATN di atas kernel linux	Husein Muhammad Mufti	2013	SK-1199
Implementasi knowledge management system pada lembaga riset studi kasus laboratorium digital library and distance learning Fakultas Ilmu Komputer Universitas Indonesia	Muhammad Teguh Brillian	2013	SK-1222
Implementasi logika fuzzy pada pengolahan konteks indikator cuaca untuk menentukan tingkat kenyamanan penghuni: studi kasus rumah cerdas	Hein Dewantara	2013	SK-1186
Implementasi metode higher order mutation dan analisis efek pemilihan mutation operator pada mutation testing untuk bahasa C	Rizki Amelia	2013	SK-1109
Implementasi modul analisis lokasi di halaman rancang bangun rumah cerdas dengan projective transformation	Galih Andy Pradana	2013	SK-1177
Implementasi modul dan analisis efektivitas penilaian kinerja pegawai bagi manajemen rumah sakit: studi kasus rumah sakit kanker Dharmais	MUhammad Rif'at Syauqi	2013	SK-1214
Implementasi modul sinkronisasi tabel routing antar ATN intermediate system menggunakan protokol IS-IS di atas framework quagga	Pulung Ragil Lanang	2013	SK-1204
Implementasi non-blind deconvolution pada gambar astronomis tunggal dengan matlab	Lukmanul Hakim	2013	SK-1111
Implementasi wireless remote control standar IEE 802.15.4 untuk meteran listrik prabayar	Firza Agusta Wiratama	2013	SK-1201
Klasifikasi dokumen teks berdasarkan subject headings dengan algoritma naive bayes dan support vector machine serta pengaruh dokumen unlabeled pada klasifikasi	Panji Yudha Satriawan	2013	SK-1175
Klasifikasi topik pada microblog berbahasa indonesia	Timotius Nico	2013	SK-1173
Konsumsi data semantic pada portal evaluasi akademik perguruan tinggi jenjang sarjana (studi kasus Universitas Indonesia)	Krishna Priawan Hardinda	2013	SK-1196
Mesin penerjemah statistik berfaktor menggunakan informasi part-of-speech, morfologi dan lemma pada corpus parallel Inggris-Jerman dan Inggris-Indonesia	Darryl Yunus Sulistyan	2013	SK-1115
Metode MRF dan MAP untuk pencitraan super resolusi pada citra tunggal	Prildy	2013	SK-1113
Pemetaan laporan penelitian dan paper dengan menggunakan metode vector space model	Ika Novianty	2013	SK-1176
Pemilihan metode peramalan deret waktu menggunakan classification based on associations dan decision tree	Julian Trifany Ananda Tirta	2013	SK-1212
Pemodelan basis data rekam medis elektronik untuk rumah sakit pendidikan studi kasus RSUPN DR. Cipto Mangunkusumo	Rezky Ramadiansyah	2013	SK-1210
Penerapan business intelligence sebagai alat bantu manajemen proyek untuk pemantauan efisiensi kinerja pada organisasi berbasis proyek konstruksi: studi kasus PT Mitra Sinergi Adhitama	Tri Nurdin Anthony Situmorang	2013	SK-1140
Penerapan kerangka kerja SNI ISO/IEC 27001: 2009 dan NIST SP 800-53 revisi 4 untuk audit keamanan informasi: studi kasus lembaga pemerintahan XYZ	Herdiansyah Rhamadan	2013	SK-1207
Penerapan kerangka kerja sarbanes oxley dalam audit teknologi informasi: studi kasus perusahaan manufaktur XYZ di Indonesia	Ryan Wiji Ageng Bestari	2013	SK-1158
Penerapan metode extreme learning machine untuk megklasifikasi fase pertumbuhan tanaman padi berdasarkan data hiperspektral dan modis	Nugroho Suhandono	2013	SK-1121
Penerapan model kesesuain adopsi cloud misra mondal dan pengembangan kerangka kerja pemilihan tipe cloud deployment yang sesuai di institusi pemerintah menggunakan pendekatan BCOR, ENTROPI dan TOPSIS	Ghilman Fatih	2013	SK-1137
Penerapan model pemrograman mapreduce untuk meningkatkan performa  pemrosesan query pada basis data NOSQL	Mochammad Tri Rahmady	2013	SK-1153
Penerapan pengelompokan dokumen untuk mengatasi masalah ambigu pada pencarian orang	Amanah Ramadiah	2013	SK-1194
Pengaruh electronic word-of-mouth terhadap consumer purchase decision pada aktivitas e-commerce dari perspektif consumer characteristic di kalangan mahasiswa indonesia	Maria Analia Vinesta Sinaga	2013	SK-1152
Pengaruh kualitas e-government terhadap kepercayaan masyarakat dan dampaknya terhadap keinginan untuk berpartisipasi dan electronic WORD OF MOUTH	Rizqa Nulhusna	2013	SK-1209
Pengembagan sistem informasi pengelolaan kinerja pegawai di PT United Tractors TBK	Syaiful Huda	2013	SK-1143
Pengembangan DBPEDIA Indonesia	Riko Adi Prasetya	2013	SK-1180
Pengembangan Enterprise Resource Planning (ERP) untuk sektor usaha mikro kecil menengah (UMKM) pada area fungsi bisnis sales	David	2013	SK-1117
Pengembangan aplikasi Z-wave di atas platform android dengan porting library open Z-wave ke java menggunakan USB host API	Ida Bagus Putu Peradya Dinata	2013	SK-1192
Pengembangan data mining workbench berbasis komputasi awan	Esteria Soplantila	2013	SK-1122
Pengembangan fitur preprocessing dan visualisasi pada FIKUI miner berbasis komputasi awan	Nanda Arta	2013	SK-1202
Pengembangan learning environment penerapan enterprise service bus pada perkuliahan enterprise application integration	Mohamad Andriyan	2013	SK-1170
Pengembangan ontologi evaluasi akademik internal perguruan tinggi studi kasus Universitas Indonesia	Iis Afriyanti	2013	SK-1190
Pengembangan ontologi semantic web berbasis description logic untuk aplikasi e-CHNH (e-cultural) heritage and natural history)	Faiq Miftakhul Falakh	2013	SK-1171
Pengembangan perangkat konversi protokol Z-wave menjadi UPNP: studi kasus rumah cerdas	Wendra	2013	SK-1182
Pengembangan perangkat object realtional mapping (ORM) sebagai jembatan antara pemrograman berorientasi objeck dan basis data relasional	Nofa Aulia	2013	SK-1168
Pengembangan prototipe perangkat routing untuk aeronautical telecommunication network	Abi Rheza Nasa'i	2013	SK-1123
Pengembangan prototype sistem enviar mobile dalam virtualisasi informasi wireless sensor network dengan representasi augmented reality berbasis lokasi	Hafizh Hasrindra	2013	SK-1200
Pengembangan sistem keamanan ruang pribadi berbasiskan konteks menggunakan logika fuzzy: studi kasus rumah cerdas	Yulistiyan Wardhana	2013	SK-1197
Pengembangan sistem telehealth pertumbuhan janin (Terrain) berbasiskan deteksi pada citra kepala janin ultrasonografi dua dimensi	Roberth Rahmatullah	2013	SK-1218
Penggunaan model dematel untuk menentukan faktor-faktor manfaat, peluang, biaya, dan risiko yang mempengaruhi adopsi teknologi cloud: studi kasus pada perusahaan jasa pertambangan skala menengah dan besar	Nathan	2013	SK-1162
Penghitungan indeks PAR (peer assessment rating) pada citra model gigi 2D untuk koponen penilaian jarak gigit, gigitan terbuka, dan segmentasi gigi pada model gigi terbuka	Muhammad Febrian Rachmadi	2013	SK-1220
Pengujian pemetaan taksonomi pengetahuan pada lembaga penelitian nuklir menurut pandangan pakar: studi kasus badan tenaga nuklir nasional (BATAN)	Aridya Maharianto	2013	SK-1133
Penyaringan materi berbahaya dengan memanfaatkan fitur dari dokumen web menggunakan metode naive bayes dan K-nearest neighbours	Fitri Nurinsani Rachbini	2013	SK-1185
Perancangan surface gesture untuk 3D manipulation dengan metode participatory design	Muhammad Husein	2013	SK-1156
