Title	Author	Year	Callnum
Penelitian dan pengembangan prototipe sistem point of sale berbasis web sebagai bagian dari Enterprise Resource Planning (ERP): Studi kasus Usaha Mikro Kecil Mengengah (UMKM)	Ruth Magdalena	2012	SK-1032
Penemuan jawaban dengan menggunakan mesin pembaca dokumen pada sistem tanya jawab	Philip Arthur	2012	SK-1119
Penerapan audit sistem informasi berbasis web dengan menggunakan pemetaan kerangka infauditor terhadap cobit 4.1: studi kasus Direktorat Jenderal Bina Marga Kementrian Pekerjaan Umum	Kartika Pratiwi	2012	SK-1030
Penetapan fungsionalitas service automation pada hospital information systems menggunakan konsep servqual: studi kasus rumah sakit haji Jakarta	Fatimah Azzahro	2012	SK-1037
Pengeimplementasian story planning dari sistem story generation picture books  sebagai sebuah knowledge base	Henry Loharja	2012	SK-1004
Pengembangan content management system (CMS) e-commerce dengan teknik search engine optimization (SEO) untuk mengoptimalkan visibilitas toko online pada hasil penelusuran  google	Purnadi Winarno	2012	SK-1022
Pengembangan dashboard indikator pembangunan pertanian sebagai informasi bagi eksekutif: studi kasus kementrian pertanian republik Indonesia	Fajar Pranata Siwi	2012	SK-1046
Pengembangan demeter sebagai aplikasi perangkat lunak pada sistem wireless sensor network bumi	Aditya Nugraha	2012	SK-1062
Pengembangan digital dashbboard sebagai komponen visualisasi dalam business intelligence untuk menampilkan informasi monitoring dan evaluasi: studi kasus pusat data dan informasi pertanian	Satrio Budhi	2012	SK-1092
Pengembangan fungsi evaluasi rima pada pembangkit puisi otomatis Mcgonagall	Mieke Eka Putri	2012	SK-1008
Pengembangan kerangka kerja dan analisa pengukuran tingkat kesiapan implementasi electronic customer relationship management organisasi: studi kasus pada perusahaan Start-UP	Latifah Helmy M	2012	SK-1029
Pengembangan kerangka kerja pengukuran tingkat kesiapan implementasi business intelligence pada organisasi: studi kasus mode fashion group	Robertus Kristianto	2012	SK-1010
Pengembangan materi baru pada sistem webgoat sebagai testbed untuk penetration testing terhadap keamanan sistem informasi dalam kerangka ethical hacking	Willy Halim Dinata	2012	SK-1016
Pengembangan pervasive computing berbasis wireless sensor network dengan standar IEEE 802.15.4/Zighee	Budiarto	2012	SK-1076
Pengembangan prototipe sistem transkripsi berbasis web secara crowdsourcing dengan penerapan prinsip human computer interaction	Maya Fitria	2012	SK-1094
Pengembangan prototype perangkat lunak enviar dalam virtualisasi informasi wireless sensor network pada aplikasi demeter dengan representasi augmented reality	Enggar Baskoro	2012	SK-1064
Pengembangan sistem pengenalan suara bahasa Indonesia untuk percakapan spontan	Kirana Widyastuti	2012	SK-1056
Pengembangan use case diagram generator dari software equirement specification dalam bahasa indonesia dengan menggunakan analisis semantik	Latifaah	2012	SK-1003
Pengkajian kinerja algoritma pendekodean pada sistem pengenalan suara otomatis bahasa indonesia	Angga Aditya	2012	SK-1088
Pengklasifikasian tipe pola sidik jari dengan metode berbasis gradien	Vici Riyani Tedja	2012	SK-996
Pengukuran manfaat pengimplementasian sistem ERP pada perusahaan manufaktur perkebunan studi kasus PT XYZ	Nita Arryani Sari	2012	SK-1014
Perancangan strategi dan user interface layanan online video sharing pada PT Beoscope dotkom	Siti Hapsari Dyahningrum	2012	SK-1023
Perbaikan BT2SAL translator untuk integrasi model checker dengan trace animator pada paradigm behavior engineering	Ardi	2012	SK-1081
Perbandingan algoritma klasifikasi jaringan syaraf tiruan dalam pendeteksian penyakit arrhythmia	Diane Fitria	2012	SK-1095
Perbandingan algoritma naive bayes dan algoritma chung-kwei dalam klasifikasi SMS SPAM berbahasa Indonesia dan bahasa Inggris	Miftahul Husni	2012	SK-1079
Perbandingan implementasi akksi individu umpan panjang dan umpan pendek pada autonomous robot soccer	Sony Wirawan	2012	SK-1089
Perbandingan troughput IPV4, IPV6 dan IPV6 dengan tuneling pada jaringan dengan ukuran MTU 1280 dan 1500 byte	A. Fakhrul Arrozi	2012	SK-998
Peringkasan dokumen berita dalam bentuk timeline	Meganingrum Arista Jiwanggi	2012	SK-1075
Peringkasan dokumen multi bahasa menggunakan pengelompokan dokumen	Michaela Nathania	2012	SK-1018
Prototipe pengamanan barang bukti digital pada computer forensic menggunakan metode partition hiding	Imam Bachtiar	2012	SK-1082
Rekonstruksi permukaan tiga dimensi dengan pendekatan visi stereo	Mohammad Agung Wibowo	2012	SK-1077
Simulasi pembentukan formasi dari robot quadcopter dalam melakukan eksplorasi ruangan menggunakan  perangkat lunak V-REP	Kharda Ahfa	2012	SK-1063
Sistem enkripsi berbasiskan identitas boneh-franklin yang memanfaatkan weil pairing dan implementasinya menggunakan bahasa pemrograman java	Radityo Eko Prasojo	2012	SK-1012
Steganografi citra berbasis transformasi wavelet dengan metode lifting	Sely Haudy	2012	SK-1009
Strategi manajemen perubahan untuk mendukung implementasi knowledge management system (KMS): studi kasus PT. Indonesia Telemedia (Telkomvision)	Irene Sherlyta Gloria	2012	SK-993
Studi keamanan aplikasi web institusi pendidikan menggunakan testing guide OWASP,  studi kasus: scele Fasilkom UI	Nestor Sar Naru	2012	SK-1045
Translation of specification in behavior tree to an executable abstract behavioral specification	Emerson Chan Simbolon	2012	SK-1101
Algoritma spatial-temporal clustering pada aplikasi basis data kriminal	Christian Regensius	2011	SK-944
Analisa sentimen menggunakan metode unsupervised classification: pointwise mutual information	Chipta Perdana	2011	SK-957
Analisis dampak diseminasi informasi pada media sosial dalam pegelolaan brand (brand management): studi kasus pada perusahaan Tendencies dan Locoshop	Winahyu Anggoro	2011	SK-1006
Analisis dampak pemasaran online tanpa berbayar menggunakan situs jejaring sosial  facebook: studi kasus pada perusahaan inspired 27 dan garlick store	Wahyu Lisdianingrum	2011	SK-913
Analisis dampak tangible dan itangible benefit pada implementasi enterprise resource planning (ERP) di perusahaan minyak dan gas bumi studi kasus PT XYZ	Aprilia Pratiwi	2011	SK-920
Analisis dan implementasi web service untuk pemenang pengadaan barang dan jasa secara elektronik berbasiskan soap dan rest	Annisa Nadya	2011	SK-918
Analisis dan perancangan protokol routing pada mobile robot sensor network untuk ekspansi area jaringan telekomunikasi secara otonomi di daerah bencana	Enrico Budianto	2011	SK-953
Analisis dan perumusan strategis pelaksanaan green it pada organisasi di indonesia beserta faktor pendukung dan penghambatannya	Rizqi Teguh Setiadi Hermawan	2011	SK-935
Analisis faktor-faktor yang mempengaruhi penerimaan pengguna dalam menggunakan sistem enterprise resource planning (ERP) studi kasus PT XYZ	Yulianti	2011	SK-903
Analisis fungsionalitas electronic-customer relationship management terhadap proses bisnis di lembaga konsultasi teknologi informasi XYZ	Ersalina Aritriztya	2011	SK-933
Analisis implementasi strategi multiple information security governance (ISG frameworks dan critical success factors implementasi ISG pada industri minyak bumi dan gas indonesia: studi kasus PT X	Wachid Yoga Afrida	2011	SK-919
Analisis kebutuhan fungsional dan pembuatan prototipe knowledge management system: studi kasus PT Dana pensiun Bank Negara Indonesia	Handika Masbudi	2011	SK-948
Analisis kebutuhan modul aplikasi SAP ERP (R/3) yang diperlukan untuk logistik militer: studi  kasus TNI angkatan darat	Yasril Sjaf	2011	SK-910
Analisis model knowledge management dalam organisasi IT support service dengan metodologi grounded theory dan teknik repertory grid: studi kasus IT Fasilkom UI	Alexander Agustinus	2011	SK-951
Analisis penggunaan dan pengelolaan corporate blog pada perusahaan konsultasi di Indonesia	Indah Nurul Aini Razaad	2011	SK-983
Analisis perancangan sistem enterprise application integration pada Fasilkom UI	Rahmat Kurniawan Kresnamurti	2011	SK-987
Analisis perbandingan clustering data ekspresi gen yang terintegrasi dengan menggunakan metdoe data consolidation dan transformasi kernel  	Fabian	2011	SK-909
Analisis perbandingan functionality dan nonfunctionality open source software ERP dengan studi kasus compiere, openbravo dan xtuple  untuk pengembangan modul pembelajaran ERP	Ultary Hariyaty	2011	SK-931
Analisis solusi mobile customer relationship management untuk meningkatkan penjualan jasa di PT Sucofindo (Persero)	Huda Arta Bahri	2011	SK-937
Analisis students experience terhadap penggunaan twitter sebagai media pemelajaran pada perguruan tinggi	Chita Indah Hayati	2011	SK-904
Analisis tingkat kemetangan e-government direktorat jenderal pendidikan tinggi menggunakan framework deloitte and touche dengan modifikasi penambahan poin infrastruktur dan kebijakan dari framework pemeringkatan e-government indonesia	Muhammad Alfi Nurcahyo	2011	SK-930
Analisis tingkat kesadaran  pengembang terhadap keamanan aplikasi website berdasarkan standar kemanan pengembangan aplikasi	Rinaldi	2011	SK-938
Audit keamanan teknologi informasi (IT) dengan menggunakan kerangka pemetaan ISO/IEC 27002 ke cobit 4.1: studi kasus sekretariat direktorat jenderal pendidikan tinggi (DIKTI)	Eva Zakiah	2011	SK-927
Critical success factor penerapan sistem enterprise resource planning pada perusahaan telekomunikasi di indonesia: studi kasus PT Telekomunikasi  Indonesia, Tbk	Widia Resti Fitriani	2011	SK-907
Critical success factors untuk mempercepat penyebaran mobile commerce: studi kasus Universitas Indonesia	Argiesta Destantria	2011	SK-905
Desain dan implementasi aplikasi matlab client pada android	Chrisma Andhika D.H.	2011	SK-946
Desain dan implementasi aplikasi matlab client pada blackberry	Agus Triutomo	2011	SK-924
Desain dan implementasi aplikasi matlab client pada windows phone 7	Gilang Bhagaskara	2011	SK-972
Desain dan implementasi matlab server berbasiskanservice-oriented architecture	Deddy Hermawan	2011	SK-911
Desain dan implementasi nesdotnet: translator.net framework untuk wireless sensor network berbasis tinyos	Ken Danniswara	2011	SK-956
Desain dan implementasi prototype aplikasi packet analyzer pada wireless sensor network	Ryzky Yudha	2011	SK-976
Desain dan pengembangan tosvs project template dan integrasi nesdotnet (translator.net framework ke nesc) pada visual studio 2010 ultimate 	Dwimasarga Wirasetya	2011	SK-915
Desain rumah cerdas dan implementasinya menggunakan OSGI android	Mohamad Sani	2011	SK-923
Esfindo multi-organisasi versi 2.0	Wais Al Korni	2011	SK-986
Forensik SMS menggunakan statistik deskriptif	Resty Suherlina	2011	SK-942
Identifikasi alat musik tradisional indonesia pada musik monoponik	Ivonne Julietta Siagian	2011	SK-982
Identifikasi critical success factors implementasi e-voting dengan studi kasus penyelenggaraan pemilihan kepala daerah Kabupaten Jembrana	Aprillia Hartami	2011	SK-977
Implementasi abstraktor pada middleware rumah cerdas dengan menggunakan protokol UPNP	Iman Perkasa	2011	SK-940
Implementasi algoritma fuzzy learning vector quantization pada field programmable gate array untuk pendeteksian aritmia	Ruliantyo Syafaadillah Rambe	2011	SK-960
Implementasi algoritma fuzzy learning vector quantization particle swarm  optimization pada FPGA  mendeteksi sleep APNEA	Wahyu Tri Anggoro	2011	SK-958
Implementasi algoritma jaringan saraf tiruan backpropagation pada FPGA dan sistem operasi android untuk mendeteksi sleep APNEA menggunakan fitur data ECG	Muhammad Fajar	2011	SK-968
Implementasi algoritma neural networkfeedforward dalam FPGA	Aji Roland Putra	2011	SK-979
Implementasi business intelligence dengan merancang digital dasboard system untuk  menampilkan informasi dan what-if analysis mengenai inflasi: studi kasus Bank Indonesia	Nugroho Dwi Saputra	2011	SK-932
Implementasi business intelligence pada industri telekomunikasi untuk meningkatkan efektifitas BTS sebagai alat produksi (studi kasus divisi telkom flexi PT telekomunikasi indonesia TBK	Antoni Ridzki Andromeda	2011	SK-947
Implementasi business intelligence studi kasus: perancangan model dashboard untuk mengevaluasi standar pelayanan minimal bidang kesehatan	Inasa Kamila	2011	SK-965
Implementasi dan analisis algprtima aproksimasi untuk pairwise testing dan perbandingannya dengan algoritma brute force	Merryl Frances Nathanie Meka	2011	SK-945
Implementasi klasifikasi mobil pada sistem pengaturan lampu lalu lintas terdistribusi berbasiskan algoritma jaringan syaraf tiruan	Big Zaman	2011	SK-984
Implementasi pemetaan ITIL V3 pada COBIT 4.1 untuk menganalisis kinerja tata kelola IT service operation (service desk function, event management, incident management, dan problem management pada ASEAN IT service delivery PT. Siemens Indonesia	Yulia Fahril	2011	SK-939
Implementasi prototipe sistem pengaturan lampu lalu lintas terdistribusi dengan optimasi pengenalan dan penjejakan kendaraan berbasis pemrosesan video	Faris Al Afif	2011	SK-985
Implementasi wavelet daubechies metode filter bank di FPGA dengan menggunakan bahasa pemrograman VHDL sebagai ekstraksi fitur untuk data ECG arrhythmia	M. Iqbal Tawakal	2011	SK-981
Integrasi RDF store dan reasoning engine dalam prototipe sistem personalisasi e-learning berbasis semantic web	Muhammad Edwin Dwi Putra	2011	SK-898
Metode identifikasi citra dental radiograf pada segmentasi elips secara otomatis	Ade Saputra	2011	SK-806
Model implementasi infrastruktur klien central authentication service untuk keperluan single sign on, studi kasus: Universitas Indonesia	Phillip Leonardo	2011	SK-954
Model implementasi infrastruktur server central authentication server untuk keperluan single sign on : studi kasus Universitas Indonesia	Muhammad Mishbah	2011	SK-941
Modifikasi metode discotope untuk prediksi epitop konformal berbasis anfis	Budianto	2011	SK-899
Pemanfaatan diversity pada sistem perolehan informasi berbahasa indonesia	Antony Raharja W.	2011	SK-1015
Pembangunan model total cost of ownership dengan activity based costing studi kasus pada document management system di ditjen anggaran kementrian keuangan republik indonesia	Luky Kurniawan	2011	SK-906
Pemetaan pelaksanaan tata kelola investasi teknologi informasi dengan menggunakan kerangka  kerja val IT 2.0 di Bank Umum Indonesia: studi kasus Bank XYZ	Larastri Kumaralalita	2011	SK-912
Pemetaan praktik pengamanan teknologi informasi terhadap model digital liability management (dlm) dan analisis faktor kesuksesannya: studi kasus Bank XYZ	Eulis Fitriansyah	2011	SK-921
Pemodelan dan simulasi evolusi perilaku kooperatif pada populasi berstruktur dengan menggunakan graph theory dan evolutionary game theory	Nurul Qomariyah	2011	SK-922
Penerapan agglomerative clustering pada pengembangan lanjut modul pembelajaran tempalte lelucon punning riddle	Try Agustini	2011	SK-963
Penerapan algoritma support vector machine pada time series forecasting harga tiket penerbangan domestik di lima  rute penerbangan di Indonesia	Ari Aditya Nugraha	2011	SK-967
Penerapan konsep social customer relationship management di lingkungan Univeristas Indonesia: studi kasus Fakultas Ilmu Komputer Universitas Indonesia	Malysa Zulsinthya Prihartini	2011	SK-934
Penerapan model component based software engineering untuk impelemntasi visualisasi simulasi keadaan lalu lintas kereta api	Fitri Rachmawati	2011	SK-970
Penerapan steganografi pada musik digital dengan pendekatan transformasi wavelet diskret	I Wayan Wiprayoga Wisesa	2011	SK-916
Penetapan fungsionalitas electronic customer relationship management pada usaha mikro kecil dan menengah toko pakaian: studi kasus mode fashion group	Sri Wahyuni	2011	SK-917
Pengembangan aplikasi indoor environment monitoring berbasis wireless sensor network dan SMS gateway	I Gusti Ngurah Agung Riyandi	2011	SK-914
Pengembangan lanjut agregator berita bahasa indonesia menggunakan teknik content extraction, any-of classifier, dan term counting	Gilang Mentari Hamidy	2011	SK-975
Pengembangan metode lailin untuk segmentasi citra radiografi gigi panoramik	Muhammad Juliandri	2011	SK-902
Pengembangan metode prediksi epitop konformal dengan menggunakan sistem inferensi logika fuzzy	Felicia	2011	SK-900
Pengembangan prototype piranti lunak pada sistem wireless sensor network untuk aplikasi smart farm	Glenn Mohammad	2011	SK-908
Penggunaan buku sekolah elektronik di sekolah dasar: studi kasus SDN Srengseng sawah 15 pagi	Maya Retno Ayu Setyautami	2011	SK-959
Pengujian dan analisa fitur code metrics pada visual studio 2010 untuk aktivitas penjaminan mutu perangkat lunak	Sonya Permata Putri	2011	SK-962
Peningkatan kinerja sistem inferensi kesukuan pada profil DNA manusia menggunakan teori informasi	Erwin Nugraha Bayu Aji	2011	SK-901
Penjaminan mutu sistem informasi bantuan operasioal sekolah melalui pengujian performansi keamanan dan keakuratan	Adi Setiadi	2011	SK-971
Perancangan dan pembangunan perangkat lunak bantu berbasis capability maturity model integration-development (CMMI-DEV) dengan representasi  proses berkelanjutan untuk area proses requirement management (REQM)	Oscar Kurniawan Manule	2011	SK-974
Perancangan enterprise architecture dengan mengunakan the open group architecture framework pada mining industry: studi kasus PT XYZ	Famella Rahma Putri	2011	SK-936
Perancangan solusi enterprise application integration pada organisasi kepemerintahan: studi kasus Direktorat Jenderal Pendidikan Tinggi	Qorib Munajat	2011	SK-926
Perancangan user interface digital  dashboard untuk menyajikan key performances index dan lead indicators: studi  kasus bidang pendidikan dan layanan kemahasiswaan Fakultas Ilmu Komputer Universitas Indonesia	Muhammad Iqbal	2011	SK-973
Perbandingan robustness protokol routing AODV dan DSR pada jaringan pengindra nirkael menggunakan simulator jaringan NS2	Taufiq Jannuar	2011	SK-943
Perolehan informasi iklan dengan menggunakan teknik pengelompokan dan perluasan kueri	Yunita Anggarawati	2011	SK-978
Prototipe knowledge management system berbasis wiki untuk keperluan proyek rekayasa perangkat lunak: studi kasus Pusat Ilmu Komputer Universitas Indonesia	Salman El Farisi	2011	SK-949
Rancangan dan implementasi bahasa simulasi untuk requirement engineering  dalam bentuk animasi behavior tree pada textbe (textual editor for behavior engineering)	Ferdiansyah Dolot	2011	SK-925
Rancangan dan pembuatan sensor kedalaman air tanah	Hary Prabowo Suryoatmojo	2011	SK-1013
Rancangan penerapan audit sistem informasi dengan teknik continuous auditing sebagai sarana evaluasi fungsionalitas sistem informasi berbasis web studi kasus: sistem informasi akademik next generation Universitas Indonesia	Muhammad Fitriansyah	2011	SK-966
Reduksi ukuran popping pada implementasi algortima real-time optimally adapting meshes (Roam) dengan menggunakan perhitungan kesalahan berdasarkan nested world space bounds	Raufan Multahada Safari	2011	SK-929
Rendering secara real-time berbasis ray tracing pada GPU untuk mencapai blurry specularity dengan aplikasi pada interactive furniture viewer	Barziyan	2011	SK-928
Simulasi perluasan jaringan telekomunikasi secara otonom dengan mobile robot di daerah bencana menggunakan open dynamic engine	Abdullah Hafidh	2011	SK-955
Simulation of software requirement in behavior tree using SAL	Niken Listya Pratiwi	2011	SK-969
Sinergi penerapan social customer relationship management untuk meningkatkan interkasi pengguna scele Fakultas Ilmu Komputer Universitas Indonesia	Renny Wijayanti	2011	SK-950
Sistem penjawab soal analogi verbal bahasa indonesia dengan metode latent relational analysis	Novelin Wulan Jayanthi	2011	SK-952
Teori dan implementasi wavelet daubechies metode lifting scheme ke FPGA sebagai ekstraksi fitur sinyal EKG arrhythmia	Fauzi	2011	SK-980
Web site perpustakaan di perguruan tinggi di Indonesia: analisis fitur web 2.0 konten web site	Joseph HJS	2011	SK-???
aktor yang mempengaruhi intensi konsumen untuk berbelanja online studi kasus: Universitas Indonesia	Randita Indrayarto	2011	SK-961
Analisa dan perancangan sistem e-voting pemilihan kepala daerah dalam mendukung penerapan e-government	Freddy Setiawan	2010	SK-855
Analisa pengembangan formalisasi sistem pengendali lalu lintas kereta api	Irene Ully Havsa	2010	SK-874
Analisa situs E-tourism Indonesia: studi terhadap persebaran geografis pengklasifikasian situs serta pemafaatan fungsi dan fitur	Ahmad Murthado	2010	SK-889
Analisis citra CT SCAN organ hati menggunakan sistem fuzzy mamdani	Yuli Biena	2010	SK-849
Analisis dampak intangible dari implementasi SAP di perusahaan multinasional studi kasus  PT XYZ	Dephira Amenike	2010	SK-824
Analisis dan pemodelan sistem knowledge management untuk e-government yang mendukung hubungan government to employee (G2E)	Mubarik Ahmad	2010	SK-857
Analisis dukungan teknologi informasi terhadap penerapan inisiatif knowledge management: studi kasus PT FIF	Genta Moerita	2010	SK-821
Analisis kepuasan pengunaan scele pada mahasiswa Fakultas Ilmu Komputer Universitas Indonesia  dengan menggunakan pendekatan negative critical incidents	Meldi Harrosyid	2010	SK-818
Analisis kinerja algoritma pemberian tanda air pada video digital dengan memanfaatkan batas kontras dimensi temporal	Nadissa C.	2010	SK-837
Analisis kinerja aplikasi gromacs pada GPU dan pada lingkungan komputasi cluster	Ari Wibisono	2010	SK-859
Analisis kinerja cluster hastinapura menggunakan dinamika molekular RAD GTpase dengan aplikasi AMBER	Toni Dermawan Yuliyanto	2010	SK-877
Analisis pengimplementasian robot Al Fath menggunakan algoritma modifikasi partikel SWARM optimization dalam pencarian multi sumber asap	Achmad Rohman	2010	SK-815
Analisis perbandingan performa metode ekstraksi fitur citra pada studi kasus pengenalan aliran realisme dan abstraksionisme citra lukisan indonesia	Tieta Antaresti RP	2010	SK-832
Analisis pola adopsi teknologi WI-FI berdasarkan mobile phone technology adoption model (Moptam) dengan pendekatan structural equation modeling (SEM)	Fani Jasmine Bahar	2010	SK-817
Analisis proses pengujian perangkat lunak menggunakan software testing maturity model	Risnal Diansyah	2010	SK-814
Analisis spasial dengan metode density-based spa-tial clustering of application with noise pada basis data kriminal	Phina Lidyawati	2010	SK-842
Analisis temporal dengan metode clustering interactive K-means pada basis data kriminal	Ivonne Margi Immanuella	2010	SK-845
Aplikasi L7-filter untuk firewall netfilter/IPtables	Jonathan A.P. Marpaung	2010	SK-863
Counting the silent identifikasi partisipasi publik dan non publik dalam komunitas online: studi kasus scele Fasilkom Univeristas Indonesia	Wahnan Ahmal A.	2010	SK-888
Declarative animation system using functional arrows	Laverdy Pramula	2010	SK-807
Desain alat bantu untuk membuat konten aplikasi middleware berbasis MHP pada sistem siaran televisi digital	Faruk Candra Farari	2010	SK-861
Desain dan implementasi algoritma paralel pada konversi BIT rate video dan audio pada berkas multimedia MPEG-4 menggunakan API library LIBAV dan MPI	Achmad Hafid	2010	SK-895
Desain dan implementasi aplikasi middleware berbasis windows HPC server untuk komputasi paralel pada excel	Sagi Arsyad	2010	SK-880
Desain dan implementasi aplikasi simulator wireless sensor network	A.C. Arsyady	2010	SK-894
Desain dan implementasi engine simulasi pengendalian lampu lalu lintas secara terdistribusi menggunakan model kuramoto	Hendra Marihot	2010	SK-858
Desain dan implementasi library untuk aplikasi social network analyzer studi kasus : facebook	Ramadhan Kurniawan Sagala	2010	SK-892
Desain dan implementasi portal basisdata tanaman obat Indonesia sebagai penerapan knowledge management	Marjuki Rahmat	2010	SK-988
Desain pengembangan sistem playout management content (PMC) untuk program siaran televisi digital berbasiskan opencaster pada arsitektur clent-server	Gregorio Gringo Honassan	2010	SK-856
Diagnosis ginjal untuk identifikasi kanker ovarium menggunakan metodologi fuzzy	Achmad Hariyadi	2010	SK-833
Diagnosis uterus berbasis citra CT scan menggunakan pendekatan fuzzy	Priska Kalista	2010	SK-872
Eksplorasi formalisasi TLA+dalam theorem prover Hol	Iis Solichah	2010	SK-875
Evaluasi kinerja autodock 4.2 dan autodock vina 1.1 dalam proses molecilar docking dan virtual screening di lingkungan cluster hastinapura	Muhammad H. Hilman	2010	SK-864
Evaluasi teknik perolehan informasi pada dokumen web iklan	Rifqi Fuadi	2010	SK-882
Identifikasi model knowledge sharing dalam jaringan informal menggunakan social network analysis: studi kasus bagian perencanaan dan strategi divisi teknologi informasi Bank X	Diandra Aditya Kusumawardhani	2010	SK-808
Identifikasi pola knowledge sharing pada situs jejaring sosial menggunakan teknik analisis jarimgan sosial: studi kasus grup X pada situs facebook	Dian Seprina	2010	SK-887
Image enhancement dan image restoration pada citra dokumen tua menggunakan genetic algorithm	Hilda Deborah	2010	SK-838
Implementasi algoritma adaptive random testing dengan pendekatan berorientasi objek dan perbandingannya dengan basic random testing	Reffynda Esna Putri	2010	SK-840
Implementasi algoritma klasifikasi C4.5 sebagai bagian dari data mining algorithm collection	Mesa Rahmi	2010	SK-836
Implementasi algoritma prefixspan sebagai bagian dari data mining algorithm collecion	Latifah	2010	SK-835
Implementasi ekstraksi sitasi mengacu pada aturan format apa dan MLA pada bibliografi karya ilmiah di perpustakaan dijital Universitas Indonesia	Hazlinda Aziz	2010	SK-843
Implementasi multi-organisasi pada sistem pengelolaan pembelajaran: studi kasus esfindo	Baginda Anggun Nan Cenka	2010	SK-844
Implementasi pendeteksian dan penghitungan mobil dengan pemrosesan video untuk sistem pengendalian lampu lalu lintas terdistribusi	Manggala Eka Adideswar	2010	SK-867
Implementasi personalisasi pembelajaran berdasarkan gaya belajar introvert dan ekstrovert pada student centered e-learning environment (SCELE) Fakultas Ilmu Komputer Universitas Indonesia	Deswati	2010	SK-841
Implementasi protokol JXTA pada aplikasi L7-filter	Bhimo Bhaskoro	2010	SK-890
Implementasi repository keterhubungan materi dengan mata kuliah pada student centered e-learning environment (scele) Fakultas Ilmu Komputer Universitas Indonesia	Winda Sagita	2010	SK-862
Integrasi windows  HPC server 2008 R2 dan linux grid menggunakan BES++	Hisma Mulya Sudrajat	2010	SK-896
Manajemen sistem berkas berbasis gridFTP di lingkungan GRID	Nico Anandito	2010	SK-831
Membangun hubungan antara organisasi dengan para pemangku kepentingannya: studi kasus pada organisasi nirlaba di Indonesia dengan menggunakan situs jejaring sosial facebook	Laras Anggun Bestari	2010	SK-816
Modifikasi dan pengembangan sistem deteksi asap berbasis video	Lutfi Ardiansyah	2010	SK-881
Modul query dan penyimpanan ontologi pada sistem personalisasi e-learning berbasis semantic web	Dimas Rahmanto	2010	SK-852
OWLIZR: Sistem representasi pengetahuan teks bahasa indonesia berbasis web ontology language description logic (OWL DL)	Fariz Darari	2010	SK-834
Pembentukan formasi pola robot homogen secara gradual: studi kasus pada robot lLego Mindstorms NXT	Nulad Wisnu Pambudi	2010	SK-810
Pembuatan OR code berdekorasi serta implementasi OR code encoder dengan menggunakan java	Hendri	2010	SK-873
Penentuan critical success factors pada website internet banking ditinjau dari aspek kebutuhan pengguna sebagai nasabah individual dengan studi kasus BCA, Bank Mandiri dan BNI	Irvan Ferdiansyah	2010	SK-891
Penentuan rekomendasi tajuk subyek pada koleksi metadata dokumen perpustakaan Universitas Indonesia dengan algortima cosine similarity dan jaccard similarity	Evi Yulianti	2010	SK-846
Penerapan metode klasifikasi musik tradisional indonesia untuk perolehan informasi musik polifonik	Hendy Kusumo Nugroho	2010	SK-884
Penerapan model component based software engineering untuk implementasi visualisasi simulasi keadaan lalu lintas	Michael Wicaksana Putra	2010	SK-865
Penerjemahan transitif menggunakan mesin penerjemah statistik untuk bahasa indonesia dan bahasa jerman	Rosalina	2010	SK-878
Pengaruh alur cerita, grafis, suara, kontrol, lama permainan, tingkat kesulitan, dan pengaturan tampilan antarmuka terhadap tingkat enjoyment dan intention dalam memainkan permaninan online	Sactio Swastioyono	2010	SK-853
Pengaruh relevance, accuracy, timeliness, comprehensiveness, format, reliability, understandability, source expertise dan source trustworthines dari electronic word of mouth terhadap tingkatan information usefulness dan tingkatan information adoption dalam komunitas online kaskus	Maleo Angga Dewantoro	2010	SK-876
Pengembangan aplikasi penerjemahan QR code berbasis J2ME (Java 2 micro edition) pada ponsel berkamera dengan menerapkan error control coding	Lucky Haryadi	2010	SK-854
Pengembangan e-training berbasis pembelajaran kontekstual: studi kasus pusat pendidikan dan pelatihan badan pusat statistik indonesia	Nafisah	2010	SK-870
Pengembangan metode pencarian kedekatan antar vektor fuzzy pada sistem penentuan sudut citra wajah tiga dimensi	R. Brahmastro Kresnaraman	2010	SK-839
Pengembangan modul perilaku pada sistem lokalisasi sumber asap dengan menggunakan algoritma particle swarm optimization dan algoritma zig-zag	Ferdian Jovan	2010	SK-869
Pengembangan sistem agregator berita bahasa indonesia dengan klasifikasi berbasis naive bayes dan clustering berbasis non-negative matrix factorization	Natasha	2010	SK-827
Pengembangan sistem analisis semantik bahasa indonesia berdasarkan sistem controlled english to logic translation (CELT) dan penerapannya pada sistem tanya jawab yang menggunakan suggested upper merged ontology (SUMO)	Angga Kho Meidy	2010	SK-828
Pengembangan sistem jaringan surat dinas berbasis XML	Emny Harna Yossy	2010	SK-850
Pengembangan sistem pencari pakar dengan menggunakan metode association rules	Moehammad Arief Furqon	2010	SK-860
Pengembangan sistem pengenal suara biligual untuk bahasa indonesia dan inggris menggunakan satu model akustik	Ronny	2010	SK-819
Pengembangan sistem pengenalan suara untuk bahasa indonesia yang mempunyai aksen	Indah Chandra	2010	SK-879
Pengembangan web service berbasis soap dan rest untuk informasi leksikal bahasa indoensia pada proyek language grid	Ishak Sianturi	2010	SK-829
Pengenalan dan pencarian posisi absolut robot dengan menggunakan banyak kamera studi kasus: pencarian sumber kebocoran gas	Dhiemas RYS	2010	SK-868
